<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.INTC,D,20150102,000000,36.6700000,37.1600000,36.1100000,36.3500000,20759712
US1.INTC,D,20150105,000000,36.2000000,36.4500000,35.9400000,35.9600000,24191674
US1.INTC,D,20150106,000000,36.0800000,36.2300000,35.2600000,35.2700000,27192184
US1.INTC,D,20150107,000000,35.5800000,36.0700000,35.2700000,36.0300000,23766260
US1.INTC,D,20150108,000000,36.3700000,37.0000000,36.2600000,36.6950000,23846197
US1.INTC,D,20150109,000000,36.7600000,37.1100000,36.4000000,36.7600000,20218058
US1.INTC,D,20150112,000000,36.8400000,37.0000000,36.2300000,36.6150000,22008321
US1.INTC,D,20150113,000000,36.8700000,37.4890000,36.2900000,36.5100000,28515828
US1.INTC,D,20150114,000000,36.2500000,36.9100000,35.9100000,36.3400000,31177545
US1.INTC,D,20150115,000000,36.5250000,36.8800000,36.0300000,36.2000000,36713191
US1.INTC,D,20150116,000000,36.1000000,36.6600000,35.5100000,36.4100000,55754577
US1.INTC,D,20150120,000000,36.0300000,36.4600000,35.5650000,36.0900000,29749592
US1.INTC,D,20150121,000000,35.8500000,36.6800000,35.7700000,36.4800000,21690765
US1.INTC,D,20150122,000000,36.5600000,37.0000000,36.1400000,36.9200000,25131974
US1.INTC,D,20150123,000000,37.0300000,37.0300000,36.3800000,36.4500000,22757839
US1.INTC,D,20150126,000000,36.1900000,36.3000000,35.5700000,35.8000000,28027211
US1.INTC,D,20150127,000000,34.4000000,34.7200000,33.5500000,34.1900000,53135933
US1.INTC,D,20150128,000000,34.4500000,34.7000000,33.7200000,33.7800000,29901359
US1.INTC,D,20150129,000000,33.8300000,34.2800000,33.4600000,34.2000000,25982448
US1.INTC,D,20150130,000000,33.7000000,33.9850000,33.0000000,33.0500000,32362974
US1.INTC,D,20150202,000000,33.0600000,33.7500000,32.6500000,33.6400000,35312267
US1.INTC,D,20150203,000000,33.7500000,34.0500000,33.1500000,33.7000000,30098409
US1.INTC,D,20150204,000000,33.6700000,33.8352000,33.3000000,33.5900000,21908291
US1.INTC,D,20150205,000000,33.6800000,33.9900000,33.4499000,33.9300000,17819636
US1.INTC,D,20150206,000000,33.9400000,34.0000000,33.1400000,33.3000000,25401843
